"notedarray","id","name","url","price","image_link","category"
NULL,47,"Women's Open Front Cardigan Long Sleeve Lightweight Fall Long Knit Cardigan Waffle Chunky Sweater Outwear Coat","http://amazon.com/Womens-Cardigan-Lightweight-Sweater-Outwear/dp/B09L4YXNHX/ref=sr_1_47?keywords=long+sleeve+outwear&qid=1660075014&sr=8-47","$9.99","https://m.media-amazon.com/images/I/71G5mSfjlwL._AC_UL320_.jpg","long sleeve outwear"
NULL,48,"Andongnywell Womens Casual Open Front Long Sleeve Work Office Jackets Blazer Suit with Pockets Outwear","http://amazon.com/Andongnywell-Jackets-Pockets-Outwear-3X-Large/dp/B08X694XKS/ref=sr_1_48?keywords=long+sleeve+outwear&qid=1660075014&sr=8-48","$10.99","https://m.media-amazon.com/images/I/61QMWf+kArL._AC_UL320_.jpg","long sleeve outwear"
NULL,49,"Generic Andongnywell Womens Solid Color Casual Open Front Long Sleeve Work Office Jackets Blazer Suit with Pockets Outwear (Navy 1,X-Large)","http://amazon.com/Andongnywell-Jackets-Pockets-Outwear-X-Large/dp/B08X6WBP4S/ref=sr_1_49?keywords=long+sleeve+outwear&qid=1660075016&sr=8-49","$10.99","https://m.media-amazon.com/images/I/61guvsjz7OL._AC_UL320_.jpg","long sleeve outwear"
NULL,50,"Columbia Men's Thistletown Park Crew","http://amazon.com/Columbia-Thistletown-Short-Sleeve-Small/dp/B0076RNFMU/ref=sr_1_50?keywords=long+sleeve+outwear&qid=1660075016&sr=8-50","None","https://m.media-amazon.com/images/I/61s3WJIGs0L._AC_UL320_.jpg","long sleeve outwear"
NULL,51,"Womens Denim Jacket Button Down Jean Coats Long Sleeve Cropped Tops Coat Outwear (Small,Light Blue)","http://amazon.com/Womens-Jacket-Button-Cropped-Outwear/dp/B09CNNXJVC/ref=sr_1_51?keywords=long+sleeve+outwear&qid=1660075016&sr=8-51","None","https://m.media-amazon.com/images/I/61mvI87zPkL._AC_UL320_.jpg","long sleeve outwear"
NULL,52,"WENKOMG1 Mens Regular-Fit Trucker Jacket with Pocket Stand Collar Coat Lightweight Long Sleeve Outwear","http://amazon.com/WENKOMG1-Regular-Fit-Lightweight-Full-Zip-Outerwear/dp/B09Q6CLS23/ref=sr_1_52?keywords=long+sleeve+outwear&qid=1660075016&sr=8-52","$9.69","https://m.media-amazon.com/images/I/61ccjSVTVpL._AC_UL320_.jpg","long sleeve outwear"
NULL,53,"Gerber Baby Boys 6-pack Long-sleeve Onesies Bodysuit","http://amazon.com/Gerber-6-Pack-Long-Sleeve-Onesies-Bodysuit/dp/B081DHYK5L/ref=sr_1_53?keywords=long+sleeve+outwear&qid=1660075016&sr=8-53","None","https://m.media-amazon.com/images/I/81g9VqXBr8L._AC_UL320_.jpg","long sleeve outwear"
NULL,54,"Women's Leopard Print Denim Jackets Womens Boyfriend Denim Jean Coat Jacket Long Sleeves Ripped Distressed Outwear (Small,Light Blue)","http://amazon.com/Leopard-Jackets-Boyfriend-Sleeves-Distressed/dp/B09CL3VX7H/ref=sr_1_54?keywords=long+sleeve+outwear&qid=1660075016&sr=8-54","None","https://m.media-amazon.com/images/I/81QgzianaiL._AC_UL320_.jpg","long sleeve outwear"
NULL,55,"MEROKEETY Women's Open Front Lightweight Cardigan Long Sleeve Button Down Loose Outwear","http://amazon.com/MEROKEETY-Lightweight-Cardigan-Outwear-LightPink/dp/B09T6DDPVX/ref=sr_1_55?keywords=long+sleeve+outwear&qid=1660075016&smid=A1CDIOBEKND9WX&sr=8-55","$22.94","https://m.media-amazon.com/images/I/71mT-6DHwoL._AC_UL320_.jpg","long sleeve outwear"
NULL,56,"Dokotoo Womens 2022 Lightweight Summer Open Front Snap Button Down Sheer Long Sleeve Cardigan Sweaters with Pockets S-XXL","http://amazon.com/Dokotoo-Lightweight-Cardigan-Sweater-Outwear/dp/B0B3MTQPJL/ref=sr_1_56?keywords=long+sleeve+outwear&qid=1660075016&sr=8-56","None","https://m.media-amazon.com/images/I/71P4bjoSetL._AC_UL320_.jpg","long sleeve outwear"
